run_id,task_id,category,difficulty,condition,bytes_used,resources_loaded,resources_total,budget_final,iterations,time_seconds,extracted_answer,answer_score,facts_matched,facts_total,success
ccc3fe7b,T1,simple_fact,easy,Normal,529278,333,333,,1,5.783,1897,0.91,0,1,False
ccc3fe7b,T1,simple_fact,easy,Fixed Eco,14829,30,240,20000,1,4.751,2012-12-04,0.653,0,1,False
ccc3fe7b,T1,simple_fact,easy,EcoBudget,9911,21,30,10000,1,4.298,2012-12-04,0.653,0,1,False
ccc3fe7b,T2,simple_fact,easy,Normal,319627,187,187,,1,4.699,,0.0,0,1,False
ccc3fe7b,T2,simple_fact,easy,Fixed Eco,7161,30,144,20000,1,2.934,,0.0,0,1,False
ccc3fe7b,T2,simple_fact,easy,EcoBudget,7161,30,30,10000,1,2.757,,0.0,0,1,False
ccc3fe7b,T3,simple_fact,easy,Normal,166895,99,99,,1,2.732,,0.0,0,1,False
ccc3fe7b,T3,simple_fact,easy,Fixed Eco,17170,30,85,20000,1,3.274,,0.0,0,1,False
ccc3fe7b,T3,simple_fact,easy,EcoBudget,17170,30,30,20000,2,4.191,,0.0,0,1,False
ccc3fe7b,T4,specific_lookup,easy,Normal,579497,127,127,,1,2.885,,0.0,0,1,False
ccc3fe7b,T4,specific_lookup,easy,Fixed Eco,9615,30,101,20000,1,2.658,,0.0,0,1,False
ccc3fe7b,T4,specific_lookup,easy,EcoBudget,9615,30,30,10000,1,3.103,,0.0,0,1,False
ccc3fe7b,T5,specific_lookup,easy,Normal,129839,93,93,,1,1.343,,0.0,0,1,False
ccc3fe7b,T5,specific_lookup,easy,Fixed Eco,8334,30,77,20000,1,2.447,,0.0,0,1,False
ccc3fe7b,T5,specific_lookup,easy,EcoBudget,8334,30,30,10000,1,2.264,,0.0,0,1,False
ccc3fe7b,T6,list_extraction,hard,Normal,352500,160,160,,1,3.551,,0.0,0,7,False
ccc3fe7b,T6,list_extraction,hard,Fixed Eco,8457,30,142,20000,1,2.87,,0.0,0,7,False
ccc3fe7b,T6,list_extraction,hard,EcoBudget,8457,30,30,10000,1,2.938,,0.0,0,7,False
ccc3fe7b,T7,comparison,hard,Normal,1154558,152,152,,1,3.584,wind resistance,0.385,1,2,False
ccc3fe7b,T7,comparison,hard,Fixed Eco,12882,30,111,20000,1,3.373,,0.0,1,2,False
ccc3fe7b,T7,comparison,hard,EcoBudget,12882,30,30,20000,2,4.477,,0.0,0,2,False
ccc3fe7b,T8,simple_fact,easy,Normal,2086367,127,127,,1,2.583,,0.0,0,1,False
ccc3fe7b,T8,simple_fact,easy,Fixed Eco,12761,30,90,20000,1,2.868,,0.0,0,1,False
ccc3fe7b,T8,simple_fact,easy,EcoBudget,12761,30,30,20000,2,4.538,,0.0,0,1,False
ccc3fe7b,T9,simple_fact,easy,Normal,269076,101,101,,1,2.053,,0.0,0,1,False
ccc3fe7b,T9,simple_fact,easy,Fixed Eco,6204,30,78,20000,1,2.0,,0.0,0,1,False
ccc3fe7b,T9,simple_fact,easy,EcoBudget,6204,30,30,10000,1,2.075,,0.0,0,1,False
ccc3fe7b,T10,specific_lookup,easy,Normal,394503,253,253,,1,4.749,,0.0,0,1,False
ccc3fe7b,T10,specific_lookup,easy,Fixed Eco,6327,30,222,20000,1,3.321,,0.0,0,1,False
ccc3fe7b,T10,specific_lookup,easy,EcoBudget,6327,30,30,10000,1,3.715,,0.0,0,1,False
