run_id,task_id,category,difficulty,condition,bytes_used,resources_loaded,resources_total,budget_final,iterations,time_seconds,extracted_answer,answer_score,facts_matched,facts_total,success
c7b428f1,T1,simple_fact,easy,Normal,606261,333,333,,1,8.144,1793,0.963,1,1,True
c7b428f1,T1,simple_fact,easy,Fixed Eco,14829,30,240,20000,1,3.664,1897,0.944,0,1,False
c7b428f1,T1,simple_fact,easy,EcoBudget,9911,21,30,10000,1,3.436,1897,0.944,0,1,False
c7b428f1,T2,simple_fact,easy,Normal,1118142,151,151,,1,4.957,seven storeys,0.741,0,1,False
c7b428f1,T2,simple_fact,easy,Fixed Eco,13258,30,111,20000,1,2.306,seven storeys,0.741,0,1,False
c7b428f1,T2,simple_fact,easy,EcoBudget,9974,24,30,10000,1,2.408,300 m,0.443,0,1,False
c7b428f1,T3,simple_fact,easy,Normal,345355,124,124,,1,5.028,sixty days' travel,0.419,0,1,False
c7b428f1,T3,simple_fact,easy,Fixed Eco,11978,30,83,20000,1,1.956,sixty days' travel,0.419,0,1,False
c7b428f1,T3,simple_fact,easy,EcoBudget,9987,24,30,10000,1,2.089,sixty days' travel,0.419,0,1,False
c7b428f1,T4,specific_lookup,easy,Normal,2082524,126,126,,1,3.164,Leonardo da Vinci,0.958,1,1,True
c7b428f1,T4,specific_lookup,easy,Fixed Eco,13786,30,90,20000,1,2.064,Leonardo da Vinci,0.958,1,1,True
c7b428f1,T4,specific_lookup,easy,EcoBudget,9531,25,30,10000,1,2.224,Max von Schillings,0.941,0,1,False
c7b428f1,T5,specific_lookup,easy,Normal,257116,154,154,,1,5.699,Bartholdi,0.992,1,1,True
c7b428f1,T5,specific_lookup,easy,Fixed Eco,15325,30,117,20000,1,2.399,Bartholdi,0.992,1,1,True
c7b428f1,T5,specific_lookup,easy,EcoBudget,9912,25,30,10000,1,2.562,Bartholdi,0.992,1,1,True
c7b428f1,T6,list_extraction,hard,Normal,482655,36,36,,1,1.412,Walls of Babylon and the Pyramids,0.292,7,7,True
c7b428f1,T6,list_extraction,hard,Fixed Eco,8839,30,33,20000,1,1.361,Walls of Babylon and the Pyramids,0.292,7,7,True
c7b428f1,T6,list_extraction,hard,EcoBudget,8839,30,30,10000,1,1.448,Walls of Babylon and the Pyramids,0.292,7,7,True
c7b428f1,T7,comparison,hard,Normal,111114,129,129,,1,5.068,1.5 m (4.9 ft).,0.272,2,2,True
c7b428f1,T7,comparison,hard,Fixed Eco,11612,30,115,20000,1,2.215,1.5 m (4.9 ft).,0.272,2,2,True
c7b428f1,T7,comparison,hard,EcoBudget,11612,30,30,20000,2,2.558,"2,130 ft)",0.101,1,2,False
c7b428f1,T8,simple_fact,easy,Normal,179267,85,85,,1,3.553,1653,0.88,0,1,False
c7b428f1,T8,simple_fact,easy,Fixed Eco,18789,30,56,20000,1,2.028,1653,0.88,0,1,False
c7b428f1,T8,simple_fact,easy,EcoBudget,9672,19,30,10000,1,2.271,1653,0.88,0,1,False
c7b428f1,T9,simple_fact,easy,Normal,355317,120,120,,1,3.383,AD 80,0.932,0,1,False
c7b428f1,T9,simple_fact,easy,Fixed Eco,12835,30,81,20000,1,1.918,AD 80,0.932,0,1,False
c7b428f1,T9,simple_fact,easy,EcoBudget,9977,25,30,10000,1,2.087,1 July 2016,0.866,0,1,False
c7b428f1,T10,specific_lookup,easy,Normal,279068,221,221,,1,7.86,1642,0.991,0,1,False
c7b428f1,T10,specific_lookup,easy,Fixed Eco,14151,30,186,20000,1,2.89,1642,0.991,0,1,False
c7b428f1,T10,specific_lookup,easy,EcoBudget,9999,22,30,10000,1,3.062,1642,0.991,0,1,False
c7b428f1,T11,specific_lookup,medium,Normal,292877,158,158,,1,4.724,Chemistry,0.97,1,1,True
c7b428f1,T11,specific_lookup,medium,Fixed Eco,11030,30,130,20000,1,2.263,Chemistry,0.97,1,1,True
c7b428f1,T11,specific_lookup,medium,EcoBudget,9833,27,30,10000,1,2.358,Chemistry,0.97,1,1,True
c7b428f1,T12,process_howto,medium,Normal,352052,160,160,,1,5.706,carbon dioxide,0.968,0,1,False
c7b428f1,T12,process_howto,medium,Fixed Eco,13751,30,142,20000,1,2.36,oxygen,0.892,1,1,True
c7b428f1,T12,process_howto,medium,EcoBudget,9776,25,30,10000,1,2.542,oxygen,0.892,1,1,True
c7b428f1,T13,process_howto,medium,Normal,599335,65,65,,1,2.093,Condensation,0.77,0,1,False
c7b428f1,T13,process_howto,medium,Fixed Eco,13554,30,55,20000,1,1.647,Condensation,0.77,0,1,False
c7b428f1,T13,process_howto,medium,EcoBudget,9953,21,30,10000,1,1.841,Condensation,0.77,0,1,False
c7b428f1,T14,general_information,easy,Normal,1063676,247,247,,1,3.734,France,0.878,0,1,False
c7b428f1,T14,general_information,easy,Fixed Eco,12138,30,96,20000,1,1.952,France,0.878,0,1,False
c7b428f1,T14,general_information,easy,EcoBudget,9400,28,30,10000,1,2.327,"Paris, France",0.877,1,1,True
c7b428f1,T15,general_information,easy,Normal,1856274,283,283,,1,10.021,artificial general intelligence,0.95,0,1,False
c7b428f1,T15,general_information,easy,Fixed Eco,9090,30,256,20000,1,3.116,Artificial intelligence,0.93,1,1,True
c7b428f1,T15,general_information,easy,EcoBudget,9090,30,30,10000,1,3.583,Artificial intelligence,0.93,1,1,True
c7b428f1,T16,heavy_page,medium,Normal,332910,202,202,,1,7.286,May 1941,0.943,0,1,False
