run_id,task_id,category,difficulty,condition,bytes_used,resources_loaded,resources_total,budget_final,iterations,time_seconds,extracted_answer,answer_score,facts_matched,facts_total,success
11f37259,T1,simple_fact,easy,Normal,557721,333,333,,1,8.63,1793,0.963,1,1,True
11f37259,T1,simple_fact,easy,Fixed Eco,14829,30,240,20000,1,3.671,1897,0.944,0,1,False
11f37259,T1,simple_fact,easy,EcoBudget,9911,21,30,10000,1,3.362,1897,0.944,0,1,False
11f37259,T2,simple_fact,easy,Normal,1104372,151,151,,1,5.69,seven storeys,0.741,0,1,False
11f37259,T2,simple_fact,easy,Fixed Eco,13258,30,111,20000,1,2.317,seven storeys,0.741,0,1,False
11f37259,T2,simple_fact,easy,EcoBudget,9974,24,30,10000,1,2.407,300 m,0.443,0,1,False
11f37259,T3,simple_fact,easy,Normal,345355,124,124,,1,3.42,sixty days' travel,0.419,0,1,False
11f37259,T3,simple_fact,easy,Fixed Eco,11978,30,83,20000,1,1.966,sixty days' travel,0.419,0,1,False
11f37259,T3,simple_fact,easy,EcoBudget,9987,24,30,10000,1,2.102,sixty days' travel,0.419,0,1,False
11f37259,T4,specific_lookup,easy,Normal,189161,126,126,,1,3.804,Leonardo da Vinci,0.958,1,1,True
11f37259,T4,specific_lookup,easy,Fixed Eco,13786,30,90,20000,1,2.078,Leonardo da Vinci,0.958,1,1,True
11f37259,T4,specific_lookup,easy,EcoBudget,9531,25,30,10000,1,2.236,Max von Schillings,0.941,0,1,False
11f37259,T5,specific_lookup,easy,Normal,278679,154,154,,1,6.895,Bartholdi,0.992,1,1,True
11f37259,T5,specific_lookup,easy,Fixed Eco,15325,30,117,20000,1,2.384,Bartholdi,0.992,1,1,True
11f37259,T5,specific_lookup,easy,EcoBudget,9912,25,30,10000,1,2.709,Bartholdi,0.992,1,1,True
11f37259,T6,list_extraction,hard,Normal,482655,36,36,,1,0.982,Walls of Babylon and the Pyramids,0.292,7,7,True
11f37259,T6,list_extraction,hard,Fixed Eco,8839,30,33,20000,1,1.317,Walls of Babylon and the Pyramids,0.292,7,7,True
11f37259,T6,list_extraction,hard,EcoBudget,8839,30,30,10000,1,1.42,Walls of Babylon and the Pyramids,0.292,7,7,True
11f37259,T7,comparison,hard,Normal,111114,129,129,,1,4.517,1.5 m (4.9 ft).,0.272,2,2,True
11f37259,T7,comparison,hard,Fixed Eco,11612,30,115,20000,1,2.144,1.5 m (4.9 ft).,0.272,2,2,True
11f37259,T7,comparison,hard,EcoBudget,11612,30,30,20000,2,2.309,"2,130 ft)",0.101,1,2,False
11f37259,T8,simple_fact,easy,Normal,156365,85,85,,1,2.432,1653,0.88,2,2,True
11f37259,T8,simple_fact,easy,Fixed Eco,18789,30,56,20000,1,1.918,1653,0.88,2,2,True
11f37259,T8,simple_fact,easy,EcoBudget,9672,19,30,10000,1,2.223,1653,0.88,2,2,True
11f37259,T9,simple_fact,easy,Normal,355317,120,120,,1,3.171,AD 80,0.932,0,1,False
11f37259,T9,simple_fact,easy,Fixed Eco,12835,30,81,20000,1,1.904,AD 80,0.932,0,1,False
11f37259,T9,simple_fact,easy,EcoBudget,9977,25,30,10000,1,2.071,1 July 2016,0.866,0,1,False
11f37259,T10,specific_lookup,easy,Normal,337258,221,221,,1,9.565,1642,0.991,2,2,True
11f37259,T10,specific_lookup,easy,Fixed Eco,14151,30,186,20000,1,2.872,1642,0.991,2,2,True
11f37259,T10,specific_lookup,easy,EcoBudget,9999,22,30,10000,1,3.071,1642,0.991,2,2,True
11f37259,T11,specific_lookup,medium,Normal,272518,158,158,,1,5.438,Chemistry,0.97,1,1,True
11f37259,T11,specific_lookup,medium,Fixed Eco,11030,30,130,20000,1,2.209,Chemistry,0.97,1,1,True
11f37259,T11,specific_lookup,medium,EcoBudget,9833,27,30,10000,1,2.361,Chemistry,0.97,1,1,True
11f37259,T12,process_howto,medium,Normal,616585,160,160,,1,5.367,carbon dioxide,0.968,0,1,False
11f37259,T12,process_howto,medium,Fixed Eco,13751,30,142,20000,1,2.342,oxygen,0.892,1,1,True
11f37259,T12,process_howto,medium,EcoBudget,9776,25,30,10000,1,2.525,oxygen,0.892,1,1,True
11f37259,T13,process_howto,medium,Normal,576121,65,65,,1,2.557,Condensation,0.77,0,1,False
11f37259,T13,process_howto,medium,Fixed Eco,13554,30,55,20000,1,1.613,Condensation,0.77,0,1,False
11f37259,T13,process_howto,medium,EcoBudget,9953,21,30,10000,1,1.812,Condensation,0.77,0,1,False
11f37259,T14,general_information,easy,Normal,1022023,247,247,,1,3.367,France,0.878,0,1,False
11f37259,T14,general_information,easy,Fixed Eco,12138,30,96,20000,1,1.943,France,0.878,0,1,False
11f37259,T14,general_information,easy,EcoBudget,9400,28,30,10000,1,2.357,"Paris, France",0.877,1,1,True
11f37259,T15,general_information,easy,Normal,1856274,283,283,,1,7.591,artificial general intelligence,0.95,0,1,False
11f37259,T15,general_information,easy,Fixed Eco,9090,30,256,20000,1,3.125,Artificial intelligence,0.93,1,1,True
11f37259,T15,general_information,easy,EcoBudget,9090,30,30,10000,1,3.219,Artificial intelligence,0.93,1,1,True
11f37259,T16,heavy_page,medium,Normal,332910,202,202,,1,8.053,May 1941,0.943,0,1,False
11f37259,T16,heavy_page,medium,Fixed Eco,14572,30,157,20000,1,2.576,2 September 1945,0.862,1,1,True
11f37259,T16,heavy_page,medium,EcoBudget,9827,23,30,10000,1,2.794,2 September 1945,0.862,1,1,True
11f37259,T17,heavy_page,medium,Normal,439028,245,245,,1,7.175,Delhi,0.861,1,1,True
11f37259,T17,heavy_page,medium,Fixed Eco,12919,30,162,20000,1,2.843,Delhi,0.861,1,1,True
11f37259,T17,heavy_page,medium,EcoBudget,9958,23,30,10000,1,2.996,Delhi,0.861,1,1,True
11f37259,T18,small_page,easy,Normal,139913,86,86,,1,3.477,Rajasthan,0.971,1,1,True
11f37259,T18,small_page,easy,Fixed Eco,15691,30,68,20000,1,2.152,Rajasthan,0.971,1,1,True
11f37259,T18,small_page,easy,EcoBudget,9975,21,30,10000,1,2.484,Rajasthan,0.971,1,1,True
11f37259,T19,small_page,easy,Normal,284067,145,145,,1,5.608,5G Evolution,0.953,0,1,False
11f37259,T19,small_page,easy,Fixed Eco,9157,30,138,20000,1,2.13,5G Evolution,0.953,0,1,False
11f37259,T19,small_page,easy,EcoBudget,9157,30,30,10000,1,2.273,5G Evolution,0.953,0,1,False
11f37259,T20,ambiguous_subtopic,hard,Normal,520152,333,333,,1,7.445,1793,0.838,0,1,False
11f37259,T20,ambiguous_subtopic,hard,Fixed Eco,13831,30,240,20000,1,3.233,22 September 2012,0.809,1,1,True
11f37259,T20,ambiguous_subtopic,hard,EcoBudget,9892,24,30,10000,1,3.399,22 September 2012,0.809,1,1,True
