run_id,task_id,category,difficulty,condition,bytes_used,resources_loaded,resources_total,budget_final,iterations,time_seconds,extracted_answer,answer_score,facts_matched,facts_total,success
f5042fcc,T1,simple_fact,easy,Normal,490309,333,333,,1,8.106,1793,0.963,1,1,True
f5042fcc,T1,simple_fact,easy,Fixed Eco,14829,30,240,20000,1,3.71,1897,0.944,0,1,False
f5042fcc,T1,simple_fact,easy,EcoBudget,9911,21,30,10000,1,3.454,1897,0.944,0,1,False
f5042fcc,T2,simple_fact,easy,Normal,1119067,151,151,,1,4.222,seven storeys,0.741,0,1,False
f5042fcc,T2,simple_fact,easy,Fixed Eco,13258,30,111,20000,1,2.353,seven storeys,0.741,0,1,False
f5042fcc,T2,simple_fact,easy,EcoBudget,9974,24,30,10000,1,2.414,300 m,0.443,0,1,False
f5042fcc,T3,simple_fact,easy,Normal,322409,124,124,,1,2.745,sixty days' travel,0.419,0,1,False
f5042fcc,T3,simple_fact,easy,Fixed Eco,11978,30,83,20000,1,1.987,sixty days' travel,0.419,0,1,False
f5042fcc,T3,simple_fact,easy,EcoBudget,9987,24,30,10000,1,2.141,sixty days' travel,0.419,0,1,False
f5042fcc,T4,specific_lookup,easy,Normal,200953,126,126,,1,3.476,Leonardo da Vinci,0.958,1,1,True
f5042fcc,T4,specific_lookup,easy,Fixed Eco,13786,30,90,20000,1,2.118,Leonardo da Vinci,0.958,1,1,True
f5042fcc,T4,specific_lookup,easy,EcoBudget,9531,25,30,10000,1,2.236,Max von Schillings,0.941,0,1,False
f5042fcc,T5,specific_lookup,easy,Normal,331330,154,154,,1,4.804,Bartholdi,0.992,1,1,True
f5042fcc,T5,specific_lookup,easy,Fixed Eco,15325,30,117,20000,1,2.531,Bartholdi,0.992,1,1,True
f5042fcc,T5,specific_lookup,easy,EcoBudget,9912,25,30,10000,1,2.831,Bartholdi,0.992,1,1,True
f5042fcc,T6,list_extraction,hard,Normal,482655,36,36,,1,1.135,Walls of Babylon and the Pyramids,0.292,7,7,True
f5042fcc,T6,list_extraction,hard,Fixed Eco,8839,30,33,20000,1,1.497,Walls of Babylon and the Pyramids,0.292,7,7,True
f5042fcc,T6,list_extraction,hard,EcoBudget,8839,30,30,10000,1,1.609,Walls of Babylon and the Pyramids,0.292,7,7,True
f5042fcc,T7,comparison,hard,Normal,204141,129,129,,1,4.063,1.5 m (4.9 ft).,0.272,2,2,True
f5042fcc,T7,comparison,hard,Fixed Eco,11612,30,115,20000,1,2.508,1.5 m (4.9 ft).,0.272,2,2,True
f5042fcc,T7,comparison,hard,EcoBudget,11612,30,30,20000,2,2.662,"2,130 ft)",0.101,1,2,False
f5042fcc,T8,simple_fact,easy,Normal,177864,85,85,,1,2.694,1653,0.88,2,2,True
f5042fcc,T8,simple_fact,easy,Fixed Eco,18789,30,56,20000,1,2.055,1653,0.88,2,2,True
f5042fcc,T8,simple_fact,easy,EcoBudget,9672,19,30,10000,1,2.55,1653,0.88,2,2,True
f5042fcc,T9,simple_fact,easy,Normal,289943,120,120,,1,3.916,AD 80,0.932,1,1,True
f5042fcc,T9,simple_fact,easy,Fixed Eco,12835,30,81,20000,1,2.034,AD 80,0.932,1,1,True
f5042fcc,T9,simple_fact,easy,EcoBudget,9977,25,30,10000,1,2.289,1 July 2016,0.866,0,1,False
f5042fcc,T10,specific_lookup,easy,Normal,290186,221,221,,1,7.549,1642,0.991,2,2,True
f5042fcc,T10,specific_lookup,easy,Fixed Eco,14151,30,186,20000,1,2.982,1642,0.991,2,2,True
f5042fcc,T10,specific_lookup,easy,EcoBudget,9999,22,30,10000,1,3.467,1642,0.991,2,2,True
f5042fcc,T11,specific_lookup,medium,Normal,309659,158,158,,1,4.599,Chemistry,0.97,1,1,True
f5042fcc,T11,specific_lookup,medium,Fixed Eco,11030,30,130,20000,1,2.292,Chemistry,0.97,1,1,True
f5042fcc,T11,specific_lookup,medium,EcoBudget,9833,27,30,10000,1,2.385,Chemistry,0.97,1,1,True
f5042fcc,T12,process_howto,medium,Normal,361544,160,160,,1,5.951,carbon dioxide,0.968,0,1,False
f5042fcc,T12,process_howto,medium,Fixed Eco,13751,30,142,20000,1,2.429,oxygen,0.892,1,1,True
f5042fcc,T12,process_howto,medium,EcoBudget,9776,25,30,10000,1,2.642,oxygen,0.892,1,1,True
f5042fcc,T13,process_howto,medium,Normal,576121,65,65,,1,2.016,Condensation,0.933,0,1,False
f5042fcc,T13,process_howto,medium,Fixed Eco,13134,30,55,20000,1,1.688,Condensation,0.933,0,1,False
f5042fcc,T13,process_howto,medium,EcoBudget,9962,22,30,10000,1,1.85,Condensation,0.933,0,1,False
f5042fcc,T14,general_information,easy,Normal,1024605,247,247,,1,3.456,France,0.878,0,1,False
f5042fcc,T14,general_information,easy,Fixed Eco,12138,30,96,20000,1,2.0,France,0.878,0,1,False
f5042fcc,T14,general_information,easy,EcoBudget,9400,28,30,10000,1,2.145,"Paris, France",0.877,1,1,True
f5042fcc,T15,general_information,easy,Normal,1856274,283,283,,1,8.203,artificial general intelligence,0.95,1,1,True
f5042fcc,T15,general_information,easy,Fixed Eco,9090,30,256,20000,1,3.151,Artificial intelligence,0.93,1,1,True
