run_id,task_id,category,difficulty,condition,bytes_used,resources_loaded,resources_total,budget_final,iterations,time_seconds,extracted_answer,answer_score,facts_matched,facts_total,success,gate_reason
5c5f51fd,T1,simple_fact,easy,Normal,609231,333,333,,1,11.54,1793,0.963,1,1,True,n/a
5c5f51fd,T1,simple_fact,easy,Fixed Eco,9911,21,240,10000,1,3.671,1897,0.944,0,1,False,fixed budget
5c5f51fd,T1,simple_fact,easy,Fixed Eco,14829,30,240,25000,1,3.018,1897,0.944,0,1,False,fixed budget
5c5f51fd,T1,simple_fact,easy,Fixed Eco,14829,30,240,50000,1,3.022,1897,0.944,0,1,False,fixed budget
5c5f51fd,T1,simple_fact,easy,Fixed Eco,14829,30,240,100000,1,3.027,1897,0.944,0,1,False,fixed budget
5c5f51fd,T1,simple_fact,easy,EcoBudget,1627,3,30,1627,3,3.384,1897,0.944,0,1,False,sufficient (sim=0.94 qa=0.94 type=when)
5c5f51fd,T2,simple_fact,easy,Normal,1131870,151,151,,1,4.768,seven storeys,0.741,0,1,False,n/a
5c5f51fd,T2,simple_fact,easy,Fixed Eco,9974,24,111,10000,1,2.365,seven storeys,0.741,0,1,False,fixed budget
5c5f51fd,T2,simple_fact,easy,Fixed Eco,13258,30,111,25000,1,2.121,seven storeys,0.741,0,1,False,fixed budget
5c5f51fd,T2,simple_fact,easy,Fixed Eco,13258,30,111,50000,1,2.11,seven storeys,0.741,0,1,False,fixed budget
5c5f51fd,T2,simple_fact,easy,Fixed Eco,13258,30,111,100000,1,2.112,seven storeys,0.741,0,1,False,fixed budget
5c5f51fd,T2,simple_fact,easy,EcoBudget,9569,20,30,9569,20,2.746,seven storeys,0.741,0,1,False,max iterations (20)
5c5f51fd,T3,simple_fact,easy,Normal,345355,124,124,,1,5.054,sixty days' travel,0.419,0,1,False,n/a
5c5f51fd,T3,simple_fact,easy,Fixed Eco,9987,24,83,10000,1,2.024,sixty days' travel,0.419,0,1,False,fixed budget
5c5f51fd,T3,simple_fact,easy,Fixed Eco,11978,30,83,25000,1,1.894,sixty days' travel,0.419,0,1,False,fixed budget
5c5f51fd,T3,simple_fact,easy,Fixed Eco,11978,30,83,50000,1,1.851,sixty days' travel,0.419,0,1,False,fixed budget
5c5f51fd,T3,simple_fact,easy,Fixed Eco,11978,30,83,100000,1,1.847,sixty days' travel,0.419,0,1,False,fixed budget
5c5f51fd,T3,simple_fact,easy,EcoBudget,9828,20,30,9828,20,2.186,sixty days' travel,0.419,0,1,False,max iterations (20)
5c5f51fd,T4,specific_lookup,easy,Normal,2036366,126,126,,1,4.162,Leonardo da Vinci,0.958,1,1,True,n/a
5c5f51fd,T4,specific_lookup,easy,Fixed Eco,9531,25,90,10000,1,2.118,Leonardo da Vinci,0.958,1,1,True,fixed budget
5c5f51fd,T4,specific_lookup,easy,Fixed Eco,13786,30,90,25000,1,1.958,Leonardo da Vinci,0.958,1,1,True,fixed budget
5c5f51fd,T4,specific_lookup,easy,Fixed Eco,13786,30,90,50000,1,1.947,Leonardo da Vinci,0.958,1,1,True,fixed budget
5c5f51fd,T4,specific_lookup,easy,Fixed Eco,13786,30,90,100000,1,1.93,Leonardo da Vinci,0.958,1,1,True,fixed budget
5c5f51fd,T4,specific_lookup,easy,EcoBudget,10515,20,30,10515,20,2.276,Leonardo da Vinci,0.958,1,1,True,max iterations (20)
5c5f51fd,T5,specific_lookup,easy,Normal,339532,154,154,,1,6.111,Bartholdi,0.992,1,1,True,n/a
5c5f51fd,T5,specific_lookup,easy,Fixed Eco,9912,25,117,10000,1,2.567,Bartholdi,0.992,1,1,True,fixed budget
5c5f51fd,T5,specific_lookup,easy,Fixed Eco,15325,30,117,25000,1,2.583,Bartholdi,0.992,1,1,True,fixed budget
5c5f51fd,T5,specific_lookup,easy,Fixed Eco,15325,30,117,50000,1,2.258,Bartholdi,0.992,1,1,True,fixed budget
5c5f51fd,T5,specific_lookup,easy,Fixed Eco,15325,30,117,100000,1,2.235,Bartholdi,0.992,1,1,True,fixed budget
5c5f51fd,T5,specific_lookup,easy,EcoBudget,10004,20,30,10004,20,2.595,Bartholdi,0.992,1,1,True,max iterations (20)
5c5f51fd,T6,list_extraction,hard,Normal,482655,36,36,,1,1.049,Walls of Babylon and the Pyramids,0.292,7,7,True,n/a
5c5f51fd,T6,list_extraction,hard,Fixed Eco,8839,30,33,10000,1,1.394,Walls of Babylon and the Pyramids,0.292,7,7,True,fixed budget
